File name			LZW.java/ratio	Do Nothing/ratio	Reset/ratio		Monitor/ratio	7zip/ratio
all.tar				1846854/1.64	1792841/1.69		1178056/2.57	1816865/1.67	828654/3.66
assig2.doc			74574/1.17		40043/2.17			40043/2.17		40043/2.17		20729/4.20
bmps.tar			925079/1.20		80917/13.7			80917/13.7		80917/13.7		54107/20.4
code.txt			30980/2.34		24547/2.95			24547/2.95		24547/2.95		14035/5.15
code2.txt			24138/2.39		20518/2.81			20518/2.81		20518/2.81		12342/4.67
edit.exe			250742/.942		156413/1.51			152233/1.55		156413/1.51		98313/2.40
frosty.jpg			177453/.715		163795/.774			171178/.740		163795/.774		126888/.999
gone_fishing.bmp	9278/1.87		8965/1.93			8965/1.93		8965/1.93		8164/2.12
large.txt			605184/2.02		501793/2.43			527426/1.05		501793/2.43		402391/3.23
lego-big.gif		128973/.729		122497/.762			122497/.762		122497/.762		92402/1.01
medium.txt			13197/1.93		12533/2.03			12533/2.03		12533/2.03		10415/2.44
texts.tar			1012179/1.37	597847/2.31			590497/2.34		597847/2.31		436539/3.16
wacky.bmp			4302/214.1		3952/233.1			3952/233.1		3952/233.1		2160/427.4
winnt256.bmp		159050/.987		62935/2.49			62935/2.49		62935/2.49		43856/3.58
